City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,rodolfo sanchez taboada,31.7167,-116.5667,289.87,74,20,1.34,MX,1682639983
178,cockburn town,21.4612,-71.1419,299.18,72,92,5.02,TC,1682639983
179,anadyr,64.75,177.4833,265.43,78,0,4.0,RU,1682639873
180,tadine,-21.55,167.8833,297.04,72,81,7.93,NC,1682639983
181,sanandaj,35.3144,46.9923,280.16,76,0,0.0,IR,1682639984
182,alofi,-19.0595,-169.9187,301.09,78,75,5.14,NU,1682639907
183,namibe,-15.1961,12.1522,296.93,75,26,0.56,AO,1682639808
184,smithers,54.7804,-127.1743,284.33,43,75,4.12,CA,1682639816
185,dhana,23.75,78.85,297.96,52,100,3.08,IN,1682639984
186,altus,34.6381,-99.334,292.88,54,0,2.06,US,1682639827
187,inari,68.906,27.0288,274.26,97,95,1.26,FI,1682639985
188,labrador city,52.9463,-66.9114,283.1,46,20,2.57,CA,1682639985
189,chos malal,-37.3781,-70.2709,289.51,23,44,1.88,AR,1682639986
190,enewetak,11.3474,162.3373,300.12,80,46,9.31,MH,1682639986
191,kwang binh,17.4833,106.6,298.56,87,51,2.41,VN,1682639986
192,severo-yeniseyskiy,60.3725,93.0408,270.52,94,100,1.6,RU,1682639986
193,lesnoy,57.6198,63.0784,284.33,78,9,4.98,RU,1682639987
194,sandakan,5.8402,118.1179,298.97,94,20,1.03,MY,1682639987
195,undurkhaan,47.3194,110.6556,275.14,46,71,5.64,MN,1682639987
196,zhytkavichy,52.2168,27.8561,275.62,80,10,2.61,BY,1682639987
197,xiazhuang,34.9161,118.6389,288.97,70,74,2.51,CN,1682639988
198,luanda,-8.8368,13.2343,300.15,89,40,2.06,AO,1682639866
199,lumphat,13.4878,106.9816,300.23,66,69,2.6,KH,1682639988
200,broome,42.2506,-75.833,285.73,62,50,2.27,US,1682639988
201,homestead meadows north,31.8496,-106.1729,300.67,8,40,3.09,US,1682639988
202,ridder,50.355,83.5133,278.59,75,96,2.19,KZ,1682639989
203,bals,44.35,24.1,280.85,65,0,2.57,RO,1682639989
204,remire-montjoly,4.9167,-52.2667,297.17,100,0,0.0,GF,1682639813
205,chapaev,50.2,51.1667,287.12,54,15,2.33,KZ,1682639989
206,balakhta,55.38,91.6,280.46,90,100,3.81,RU,1682639990
207,georgetown,5.4112,100.3354,300.11,94,20,2.06,MY,1682639891
208,zouerate,22.7187,-12.4521,304.26,19,28,4.97,MR,1682639990
209,rafraf,37.1904,10.1837,288.32,69,91,2.1,TN,1682639990
210,zheleznogorsk-ilimskiy,56.5768,104.1217,272.55,83,58,2.05,RU,1682639990
211,salalah,17.0151,54.0924,300.49,86,18,2.62,OM,1682639991
212,medina,24.4686,39.6142,300.39,11,0,4.63,SA,1682639825
213,el bauga,18.262,33.9081,301.04,10,99,4.78,SD,1682639991
214,la rioja,42.25,-2.5,285.03,39,100,2.88,ES,1682639991
215,valparaiso,-33.0393,-71.6273,288.71,66,100,2.06,CL,1682639850
216,mahajanga,-15.7167,46.3167,298.16,94,40,1.54,MG,1682639992
217,antsiranana,-12.2787,49.2917,298.5,76,43,6.82,MG,1682639700
218,greymouth,-42.4667,171.2,288.46,61,6,0.94,NZ,1682639992
219,petropavlovsk-kamchatsky,53.0452,158.6483,276.48,45,75,6.0,RU,1682639992
220,chita,52.0333,113.55,274.09,43,20,0.0,RU,1682639993
221,sosnovo-ozerskoye,52.5249,111.5418,274.87,55,90,1.93,RU,1682639993
222,turaif,31.6725,38.6637,289.29,33,0,4.12,SA,1682639993
223,novo aripuana,-5.1206,-60.3797,297.29,93,59,0.43,BR,1682639993
224,manismata,-2.4667,111.0333,297.9,96,99,0.5,ID,1682639993
225,kramfors,62.9316,17.7765,274.03,95,100,0.62,SE,1682639994
226,mabaruma,8.2,-59.7833,296.68,98,100,1.58,GY,1682639994
227,senanga,-16.1167,23.2667,290.98,50,6,2.69,ZM,1682639994
228,sauri,11.7266,6.7837,297.15,72,100,7.85,NG,1682639994
229,newman,37.3138,-121.0208,307.34,30,9,1.34,US,1682639855
230,rozhdestveno,53.2375,50.0597,286.7,55,98,1.1,RU,1682639995
231,prainha,-1.8,-53.48,297.35,88,41,1.71,BR,1682639995
232,nagqu,31.5,92.0,271.07,93,100,3.45,CN,1682639995
233,ixtapa,20.7,-105.2,299.39,75,4,3.13,MX,1682639769
234,magadan,59.5667,150.8,274.6,73,4,3.87,RU,1682639995
235,nhamunda,-2.1861,-56.7131,297.78,88,88,1.17,BR,1682639996
236,twon-brass,4.3151,6.2418,298.31,84,100,4.3,NG,1682639996
237,kourou,5.1552,-52.6478,297.18,89,99,2.35,GF,1682639996
238,alice springs,-23.7,133.8833,293.9,49,100,2.57,AU,1682639773
239,nikfer,37.4054,29.1373,278.93,93,60,3.07,TR,1682639997
240,thanh hoa,19.8,105.7667,298.55,85,35,1.63,VN,1682639997
241,san patricio,28.017,-97.5169,300.12,60,35,1.94,US,1682639997
242,san antonio de pale,-1.4014,5.6325,300.9,76,99,1.43,GQ,1682639998
243,prado,-17.3411,-39.2208,298.1,84,0,4.27,BR,1682639998
244,pirot,43.1531,22.5861,275.71,86,3,1.26,RS,1682639998
245,ponta pora,-22.5361,-55.7256,288.63,87,0,1.77,BR,1682639999
246,colonia,50.9333,6.95,286.46,56,0,2.06,DE,1682639814
247,qal'ah-ye shahr,35.5473,65.5676,281.88,21,1,2.14,AF,1682639999
248,calbuco,-41.768,-73.1273,287.71,88,100,6.87,CL,1682639999
249,haiku-pauwela,20.9219,-156.3051,297.16,78,75,6.17,US,1682640001
250,borba,-4.3878,-59.5939,297.97,88,82,1.0,BR,1682640002
251,antofagasta,-23.65,-70.4,290.75,84,39,4.69,CL,1682640015
252,taoudenni,22.6783,-3.9836,304.34,8,1,5.85,ML,1682639864
253,north platte,41.1239,-100.7654,287.09,72,100,8.94,US,1682640023
254,klaksvik,62.2266,-6.589,274.66,65,100,5.65,FO,1682640023
255,greenland,43.0362,-70.8328,284.73,81,20,3.6,US,1682640024
